Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
45,Female,33,2716,Good,Low,Average,0,No,25,Bachelor’s Degree,Single,4,Mid,Large,105,No,No,No,Poor,Low,Left
49,Female,18,10124,Good,Very High,Average,0,No,84,Associate Degree,Married,2,Mid,Large,94,No,No,Yes,Excellent,Medium,Stayed
29,Female,12,10099,Excellent,Low,Average,2,No,97,Master’s Degree,Married,1,Senior,Medium,61,No,No,No,Good,Very High,Stayed
50,Male,8,8220,Good,High,Average,0,No,81,Associate Degree,Single,2,Mid,Large,19,Yes,No,No,Good,Medium,Stayed
47,Male,13,6439,Good,High,Average,0,No,23,PhD,Divorced,3,Mid,Large,77,No,No,No,Fair,Low,Stayed
29,Male,19,10892,Excellent,High,High,0,No,71,High School,Single,5,Mid,Large,26,No,No,No,Good,Low,Stayed
44,Male,28,4697,Poor,Very High,High,0,No,84,PhD,Married,5,Mid,Medium,61,No,No,No,Good,Low,Stayed
56,Female,33,6799,Fair,High,Below Average,0,No,73,Associate Degree,Married,0,Senior,Medium,38,No,No,No,Fair,Low,Left
32,Female,1,4257,Good,Very High,Average,0,No,15,PhD,Married,0,Mid,Medium,75,No,No,No,Good,High,Left
57,Female,40,6227,Fair,Very High,Average,0,No,46,Master’s Degree,Divorced,0,Senior,Medium,80,No,No,No,Poor,High,Left
20,Female,1,9975,Good,Very High,Below Average,1,No,10,High School,Single,0,Mid,Medium,70,No,No,No,Good,Medium,Left
57,Male,6,8094,Fair,Medium,Average,2,No,26,Associate Degree,Married,1,Entry,Small,24,Yes,No,No,Excellent,High,Stayed
35,Male,25,9021,Excellent,Very High,Average,0,No,66,Master’s Degree,Married,2,Entry,Small,99,No,No,No,Good,Very High,Stayed
57,Male,27,3895,Good,High,Low,1,No,71,High School,Married,1,Mid,Small,28,Yes,No,No,Excellent,High,Stayed
30,Female,3,7300,Poor,High,Below Average,0,No,16,High School,Single,0,Mid,Medium,33,No,No,Yes,Good,Medium,Left
22,Female,6,10541,Good,Medium,High,1,Yes,70,Associate Degree,Single,0,Entry,Medium,58,No,No,No,Poor,Medium,Left
40,Male,8,11133,Excellent,Very High,High,0,Yes,10,Bachelor’s Degree,Single,0,Senior,Large,84,No,No,No,Poor,Low,Left
32,Male,11,7413,Fair,High,Average,0,No,60,High School,Married,3,Entry,Medium,83,No,No,No,Good,Medium,Stayed
20,Male,9,10068,Good,Very High,High,1,No,52,Master’s Degree,Married,3,Mid,Medium,77,No,No,No,Fair,Low,Stayed
48,Male,32,2731,Poor,High,Below Average,0,Yes,75,High School,Single,0,Senior,Medium,70,No,No,Yes,Good,High,Left
41,Female,26,8847,Good,High,Below Average,0,No,69,High School,Divorced,1,Entry,Large,105,No,No,Yes,Poor,Low,Left
25,Male,16,5588,Good,Very High,Average,1,No,56,Associate Degree,Single,4,Entry,Medium,69,Yes,No,No,Good,Low,Stayed
41,Female,16,3332,Good,Medium,High,0,No,70,Master’s Degree,Single,1,Mid,Small,71,No,No,No,Fair,Medium,Left
39,Female,25,7604,Good,Very High,Below Average,0,No,31,Associate Degree,Married,1,Mid,Medium,35,No,No,No,Good,Low,Left
43,Male,21,10064,Excellent,High,High,1,Yes,65,High School,Single,1,Mid,Medium,67,Yes,No,No,Good,High,Stayed
54,Female,6,7584,Fair,High,Below Average,0,No,81,Master’s Degree,Divorced,3,Entry,Medium,14,No,No,Yes,Good,Low,Left
50,Female,10,5656,Fair,High,High,0,No,47,Master’s Degree,Single,3,Entry,Small,58,No,No,No,Good,Low,Left
43,Female,29,7733,Excellent,Very High,High,0,No,20,Bachelor’s Degree,Married,2,Entry,Medium,85,No,No,No,Fair,Low,Stayed
59,Male,19,4898,Poor,High,Average,1,No,38,Master’s Degree,Divorced,3,Mid,Medium,94,No,No,No,Good,Low,Stayed
38,Male,10,9365,Good,High,Average,2,No,6,Associate Degree,Married,1,Mid,Medium,32,No,No,No,Poor,Low,Stayed
27,Male,1,4014,Good,Medium,Average,2,Yes,61,PhD,Married,3,Mid,Large,24,Yes,No,No,Poor,Medium,Stayed
42,Male,21,10923,Fair,High,Average,1,No,24,Master’s Degree,Married,2,Entry,Medium,36,No,No,No,Good,Medium,Left
19,Female,9,8660,Fair,Medium,Average,2,No,59,Associate Degree,Married,0,Mid,Medium,63,No,No,No,Poor,Medium,Left
55,Female,23,8623,Fair,High,Average,1,No,4,High School,Single,2,Entry,Large,40,No,No,No,Good,High,Left
20,Female,7,5650,Good,Medium,Average,0,No,19,Master’s Degree,Married,0,Mid,Medium,49,No,No,No,Good,Low,Stayed
35,Male,14,9565,Fair,High,Below Average,0,Yes,99,Bachelor’s Degree,Married,1,Entry,Small,83,No,No,No,Fair,Very High,Left
34,Male,9,5527,Good,Medium,High,2,No,7,Associate Degree,Married,0,Senior,Medium,29,No,No,No,Good,Very High,Stayed
21,Female,5,7489,Good,High,Average,2,No,13,High School,Married,1,Senior,Medium,8,No,No,Yes,Fair,Medium,Stayed
46,Male,33,6113,Excellent,High,Average,0,Yes,35,Bachelor’s Degree,Single,3,Mid,Large,97,No,No,Yes,Fair,Low,Stayed
59,Male,24,6938,Good,Medium,High,1,No,94,Associate Degree,Married,3,Mid,Small,85,No,No,No,Good,High,Stayed
33,Male,8,4089,Fair,High,Average,0,No,9,High School,Married,4,Mid,Large,45,No,Yes,No,Poor,Low,Stayed
50,Female,7,7097,Fair,Medium,Average,0,No,87,Bachelor’s Degree,Married,0,Mid,Medium,50,No,No,No,Good,Low,Stayed
40,Male,32,11064,Fair,High,Below Average,0,No,93,Bachelor’s Degree,Single,0,Senior,Medium,70,No,No,No,Poor,Medium,Left
30,Female,18,8501,Good,High,Below Average,3,No,30,Master’s Degree,Single,1,Entry,Small,95,Yes,No,No,Excellent,Medium,Stayed
52,Male,22,5395,Good,High,Average,1,No,10,Associate Degree,Married,1,Mid,Medium,52,Yes,No,No,Fair,Low,Stayed
54,Female,1,8336,Fair,High,Below Average,1,Yes,83,Associate Degree,Divorced,1,Mid,Small,24,No,No,No,Fair,High,Left
25,Female,17,8245,Good,Very High,Below Average,0,No,3,High School,Single,1,Entry,Medium,50,No,No,No,Good,High,Left
31,Female,8,9050,Excellent,High,Average,3,Yes,76,Bachelor’s Degree,Married,4,Mid,Large,64,No,No,No,Fair,Medium,Left
20,Female,11,8220,Excellent,Low,Below Average,1,Yes,96,Bachelor’s Degree,Married,2,Mid,Large,72,No,No,No,Good,High,Stayed
39,Female,7,11872,Good,High,Low,1,Yes,96,High School,Married,1,Mid,Medium,56,Yes,No,No,Good,High,Left
30,Male,13,10719,Good,High,High,2,No,93,Bachelor’s Degree,Single,0,Mid,Medium,67,No,No,No,Good,Low,Left
48,Male,35,5207,Fair,Low,High,0,No,68,Associate Degree,Single,2,Mid,Medium,67,No,No,No,Good,Very High,Left
20,Male,11,9379,Fair,High,Low,1,No,76,Master’s Degree,Divorced,3,Entry,Large,52,Yes,No,No,Good,High,Stayed
49,Female,13,5638,Fair,Medium,Average,1,No,82,Master’s Degree,Single,3,Entry,Small,65,No,No,Yes,Fair,High,Left
33,Female,2,7090,Excellent,High,Average,0,No,74,Bachelor’s Degree,Single,4,Mid,Small,9,No,No,No,Good,Low,Stayed
47,Female,19,7557,Fair,Medium,Average,0,Yes,38,PhD,Single,3,Senior,Small,56,No,No,No,Fair,High,Stayed
57,Male,22,6606,Good,High,Below Average,0,No,17,Master’s Degree,Single,0,Mid,Medium,84,No,No,No,Poor,High,Left
45,Male,37,4773,Poor,Low,Average,0,No,19,PhD,Single,1,Mid,Large,105,No,No,No,Good,Medium,Left
55,Female,23,5801,Good,High,High,2,Yes,27,Associate Degree,Married,1,Entry,Small,35,No,No,No,Good,Very High,Stayed
25,Male,16,6530,Good,Medium,Low,3,Yes,2,PhD,Single,3,Mid,Large,29,Yes,No,No,Good,Low,Stayed
44,Female,20,7578,Fair,Medium,Low,2,No,25,Bachelor’s Degree,Single,3,Mid,Large,52,No,No,No,Fair,Very High,Left
19,Female,3,4692,Good,High,Low,0,No,43,High School,Single,1,Entry,Small,62,No,No,No,Fair,Very High,Left
47,Female,27,4598,Poor,Very High,Below Average,0,No,25,Master’s Degree,Single,0,Mid,Medium,82,No,No,No,Excellent,Very High,Left
41,Female,13,8492,Excellent,Medium,Average,0,No,89,Bachelor’s Degree,Married,1,Senior,Large,58,No,No,Yes,Good,High,Stayed
40,Female,20,7509,Good,High,Average,0,No,31,High School,Single,1,Mid,Small,95,No,No,Yes,Good,High,Stayed
54,Male,16,10767,Good,High,Average,2,No,3,High School,Single,5,Senior,Small,91,Yes,No,No,Good,Low,Stayed
28,Female,19,8355,Fair,High,Below Average,2,No,30,Associate Degree,Married,6,Mid,Medium,81,No,No,No,Excellent,Low,Left
21,Female,3,4959,Excellent,Medium,Average,1,Yes,7,Master’s Degree,Single,5,Entry,Large,55,No,Yes,No,Good,Low,Left
38,Male,22,8935,Fair,Very High,Average,1,No,50,Master’s Degree,Divorced,2,Mid,Medium,71,No,No,No,Good,Low,Stayed
26,Male,5,5946,Excellent,High,Average,2,Yes,49,Bachelor’s Degree,Single,0,Mid,Medium,78,Yes,No,Yes,Fair,Low,Stayed
46,Female,1,8359,Fair,High,Average,1,No,89,Bachelor’s Degree,Divorced,3,Senior,Small,45,No,No,No,Good,Low,Stayed
57,Female,39,6793,Fair,Medium,Average,0,Yes,80,Associate Degree,Single,0,Mid,Medium,41,No,No,No,Good,Low,Stayed
58,Female,39,6941,Fair,Very High,Below Average,3,No,15,High School,Single,1,Mid,Small,53,No,No,No,Fair,Medium,Left
36,Male,14,8125,Good,High,Average,0,No,60,Bachelor’s Degree,Married,0,Mid,Medium,20,No,No,No,Fair,Low,Stayed
47,Female,21,4396,Good,Low,Average,0,No,28,High School,Married,0,Entry,Medium,91,No,No,Yes,Good,Low,Left
28,Female,16,7351,Excellent,Very High,Low,2,No,33,Bachelor’s Degree,Married,0,Mid,Large,85,Yes,No,No,Good,Low,Stayed
49,Male,13,8452,Good,High,Average,1,No,65,Bachelor’s Degree,Divorced,1,Mid,Small,19,No,No,No,Fair,High,Stayed
28,Male,12,7303,Good,Medium,High,0,No,18,Associate Degree,Single,0,Entry,Small,89,No,No,No,Good,Very High,Left
59,Male,40,8785,Excellent,Low,High,1,No,89,Master’s Degree,Single,1,Entry,Small,58,Yes,No,No,Fair,Low,Left
29,Female,14,11180,Fair,Low,Below Average,0,No,95,Bachelor’s Degree,Single,1,Senior,Medium,20,No,No,No,Poor,Medium,Left
34,Male,11,7236,Poor,High,Average,0,No,77,Associate Degree,Single,0,Entry,Large,35,No,No,No,Good,High,Left
27,Male,3,8910,Poor,Very High,Average,0,Yes,1,Master’s Degree,Divorced,0,Mid,Small,21,No,No,No,Good,Low,Left
39,Female,31,7759,Good,High,Average,0,No,95,Bachelor’s Degree,Single,4,Entry,Small,34,No,No,No,Poor,Medium,Left
47,Male,4,7849,Good,Medium,Average,0,Yes,61,Bachelor’s Degree,Divorced,1,Senior,Large,78,No,No,No,Fair,Medium,Stayed
58,Male,24,9236,Excellent,Very High,Below Average,0,Yes,37,Master’s Degree,Married,0,Mid,Large,65,No,No,No,Fair,Medium,Stayed
42,Female,1,9951,Fair,High,Average,2,No,24,Bachelor’s Degree,Divorced,1,Mid,Medium,54,No,No,No,Good,High,Stayed
19,Male,6,5399,Good,Very High,Below Average,1,No,82,Bachelor’s Degree,Single,3,Entry,Medium,17,No,Yes,No,Fair,Low,Left
32,Male,8,11630,Fair,Very High,Average,0,No,63,Bachelor’s Degree,Married,0,Entry,Medium,57,Yes,No,No,Good,High,Stayed
28,Female,2,5673,Excellent,Low,Average,1,No,63,Bachelor’s Degree,Single,0,Mid,Small,44,No,No,No,Good,High,Left
48,Female,37,8709,Good,Medium,Below Average,0,No,36,Master’s Degree,Single,1,Mid,Small,70,No,No,No,Excellent,Low,Stayed
55,Male,34,8673,Fair,High,Average,2,No,97,Bachelor’s Degree,Single,0,Mid,Large,86,No,No,No,Poor,Low,Left
19,Male,11,9165,Poor,Medium,Average,0,Yes,32,Bachelor’s Degree,Single,0,Mid,Large,65,Yes,No,No,Poor,High,Left
33,Female,17,8239,Good,High,Average,0,No,21,Bachelor’s Degree,Married,1,Senior,Small,54,No,No,No,Good,Medium,Stayed
18,Male,9,7849,Good,Medium,Average,1,No,3,High School,Married,1,Mid,Medium,68,No,No,No,Good,Low,Stayed
33,Female,24,5245,Good,High,Average,0,Yes,56,Bachelor’s Degree,Single,1,Senior,Medium,101,Yes,No,No,Excellent,Low,Stayed
19,Male,7,8925,Poor,High,Average,0,No,38,Bachelor’s Degree,Married,0,Mid,Small,74,No,No,No,Fair,High,Left
21,Male,8,6582,Excellent,High,Average,0,No,42,Bachelor’s Degree,Divorced,5,Entry,Medium,66,No,No,No,Excellent,High,Left
45,Male,4,10712,Fair,Low,High,3,No,19,Associate Degree,Single,1,Mid,Small,10,No,No,Yes,Good,Low,Left
31,Male,23,4886,Poor,High,Average,0,No,15,High School,Single,2,Entry,Large,92,No,No,No,Poor,Medium,Left
28,Male,4,9249,Fair,Medium,Average,1,Yes,47,High School,Single,5,Entry,Medium,62,No,No,Yes,Good,Very High,Left
59,Male,45,4366,Fair,Low,Average,1,No,86,High School,Single,2,Mid,Small,47,No,No,No,Good,High,Left
32,Female,8,6758,Fair,High,Average,0,Yes,53,Bachelor’s Degree,Single,0,Entry,Large,35,No,No,No,Good,Low,Left
28,Male,12,4099,Excellent,High,High,0,No,30,High School,Single,1,Senior,Large,82,Yes,No,No,Fair,Low,Stayed
55,Female,39,4392,Poor,High,Average,1,No,90,Associate Degree,Single,0,Mid,Large,101,Yes,No,No,Good,Low,Stayed
21,Male,4,9489,Good,High,Average,0,No,7,High School,Single,3,Mid,Large,35,No,No,No,Good,Low,Stayed
20,Male,12,7925,Excellent,Low,Below Average,1,No,19,PhD,Married,3,Mid,Medium,41,No,No,No,Good,High,Stayed
42,Male,3,11687,Fair,High,Average,2,Yes,62,Master’s Degree,Divorced,1,Entry,Medium,22,No,No,No,Good,High,Left
28,Female,10,10282,Fair,Medium,Average,1,No,44,High School,Married,0,Entry,Small,61,No,No,No,Poor,Low,Left
37,Male,15,5805,Fair,Very High,Average,1,No,73,Associate Degree,Single,3,Senior,Small,79,No,No,No,Excellent,High,Left
59,Female,4,8774,Fair,Very High,High,1,Yes,17,Associate Degree,Married,0,Entry,Large,51,No,No,No,Good,High,Left
32,Female,12,4506,Good,High,High,1,Yes,61,High School,Single,1,Mid,Small,75,No,No,No,Excellent,High,Left
41,Female,24,4752,Good,High,Average,1,Yes,8,Associate Degree,Married,1,Mid,Medium,90,No,No,No,Fair,Medium,Stayed
49,Male,18,8198,Poor,High,Average,1,No,49,Associate Degree,Married,4,Entry,Medium,32,No,No,No,Good,Low,Stayed
47,Female,37,8278,Poor,Very High,Average,1,No,65,Master’s Degree,Single,2,Entry,Medium,93,No,No,No,Good,Very High,Left
24,Female,8,7796,Fair,Medium,Average,0,No,3,High School,Married,0,Entry,Large,12,No,No,Yes,Poor,High,Left
28,Female,19,5469,Good,Very High,Below Average,1,No,58,Bachelor’s Degree,Divorced,2,Senior,Medium,39,No,No,No,Good,High,Stayed
34,Female,1,7767,Good,High,High,2,No,53,PhD,Single,4,Entry,Medium,27,No,No,No,Poor,High,Stayed
28,Male,3,5726,Good,Very High,Below Average,2,No,64,Bachelor’s Degree,Married,3,Entry,Medium,79,No,No,No,Poor,Low,Left
47,Male,27,6036,Fair,High,Average,1,No,74,Associate Degree,Married,2,Mid,Medium,67,No,No,No,Fair,High,Left
47,Male,31,8632,Poor,High,Average,2,Yes,15,Associate Degree,Married,1,Mid,Medium,45,Yes,No,Yes,Poor,High,Left
23,Male,7,7332,Good,High,Average,0,No,13,Associate Degree,Single,3,Mid,Medium,56,No,No,Yes,Good,Low,Stayed
35,Female,7,8650,Fair,High,Average,0,No,15,Bachelor’s Degree,Single,2,Senior,Small,22,No,No,No,Fair,Low,Left
21,Male,4,8245,Good,Medium,Average,2,Yes,44,Associate Degree,Married,1,Senior,Small,35,No,No,Yes,Excellent,High,Stayed
41,Male,25,9539,Good,High,Average,2,No,97,Master’s Degree,Divorced,3,Mid,Large,98,No,No,No,Good,Low,Stayed
55,Male,32,5674,Poor,Low,High,0,Yes,52,Master’s Degree,Married,0,Entry,Large,96,No,No,Yes,Good,Low,Left
23,Male,13,7915,Good,Medium,Average,1,No,39,High School,Single,2,Entry,Small,35,No,No,No,Fair,Low,Left
52,Male,14,9121,Fair,Medium,Average,0,Yes,33,Bachelor’s Degree,Single,1,Mid,Small,60,No,No,No,Poor,High,Left
29,Female,6,5604,Fair,Medium,Average,0,Yes,76,Master’s Degree,Married,4,Entry,Small,44,No,No,No,Good,Low,Left
59,Female,25,6578,Fair,Medium,Average,0,No,10,Master’s Degree,Single,3,Senior,Large,69,No,No,No,Excellent,Low,Stayed
47,Male,18,11884,Excellent,Low,High,0,No,15,Bachelor’s Degree,Divorced,4,Senior,Small,96,No,No,No,Good,Medium,Stayed
24,Female,13,5091,Good,High,High,0,Yes,94,Bachelor’s Degree,Married,0,Entry,Small,52,No,No,No,Good,High,Left
30,Female,6,7173,Good,Low,Average,0,No,53,Bachelor’s Degree,Divorced,4,Entry,Medium,74,No,No,No,Good,Low,Left
52,Female,15,9100,Poor,Medium,Average,0,No,45,PhD,Married,1,Entry,Small,73,Yes,No,No,Good,High,Stayed
47,Male,23,7240,Fair,Medium,Average,0,No,36,Master’s Degree,Single,3,Entry,Medium,87,Yes,No,Yes,Good,Medium,Stayed
59,Male,26,7869,Good,Very High,Average,1,No,32,Bachelor’s Degree,Married,4,Senior,Medium,104,No,Yes,Yes,Good,Low,Stayed
55,Male,4,10226,Good,High,Average,1,No,14,Master’s Degree,Married,3,Mid,Large,57,Yes,Yes,No,Good,High,Stayed
21,Male,9,5808,Excellent,High,High,0,No,32,High School,Single,0,Mid,Small,70,No,No,Yes,Poor,High,Stayed
27,Male,12,9057,Fair,High,Average,0,Yes,2,Master’s Degree,Single,1,Mid,Small,79,No,No,No,Fair,Medium,Left
24,Male,7,6416,Good,Medium,Average,2,No,19,Associate Degree,Single,1,Mid,Medium,35,No,No,No,Excellent,Low,Stayed
35,Male,21,6825,Good,Medium,Average,0,No,92,Associate Degree,Married,0,Senior,Medium,31,No,No,No,Good,High,Stayed
46,Male,2,4383,Good,High,Average,1,Yes,64,Master’s Degree,Divorced,0,Mid,Large,40,No,No,No,Poor,High,Stayed
43,Female,26,7719,Fair,Medium,Average,2,No,42,Bachelor’s Degree,Divorced,4,Mid,Large,30,No,Yes,Yes,Good,Medium,Stayed
56,Female,47,3850,Good,Medium,High,0,No,73,Bachelor’s Degree,Married,4,Entry,Medium,108,Yes,No,No,Good,Low,Stayed
35,Female,1,6709,Good,High,High,1,Yes,94,Bachelor’s Degree,Single,2,Entry,Small,62,No,No,No,Good,Medium,Left
36,Male,8,5695,Good,High,Average,0,Yes,41,High School,Married,3,Senior,Medium,72,No,No,No,Good,High,Stayed
41,Female,21,7780,Excellent,Medium,High,2,Yes,17,High School,Single,2,Entry,Medium,47,No,No,No,Good,High,Left
29,Female,15,4943,Poor,High,Average,3,No,90,Master’s Degree,Divorced,0,Senior,Large,88,No,Yes,No,Good,High,Stayed
59,Female,12,7269,Fair,Medium,High,2,No,13,Bachelor’s Degree,Married,0,Senior,Medium,27,Yes,No,Yes,Good,Low,Stayed
23,Female,2,5094,Poor,Very High,Average,2,Yes,62,High School,Divorced,1,Mid,Medium,52,No,No,Yes,Good,Low,Left
45,Female,3,8576,Good,High,High,0,No,79,Associate Degree,Married,1,Senior,Medium,63,No,No,No,Fair,Medium,Stayed
44,Male,13,3801,Good,High,Average,1,No,50,Bachelor’s Degree,Married,5,Entry,Large,61,No,No,No,Good,Low,Stayed
28,Female,4,3825,Good,Medium,Below Average,0,No,30,Bachelor’s Degree,Married,0,Senior,Medium,20,Yes,No,No,Good,Low,Stayed
55,Male,44,7294,Excellent,Medium,Average,1,Yes,96,Master’s Degree,Married,3,Entry,Large,80,No,No,No,Good,Low,Stayed
48,Male,31,7758,Fair,Very High,High,2,Yes,94,Bachelor’s Degree,Married,1,Senior,Medium,67,No,No,No,Poor,Low,Stayed
56,Male,47,5932,Fair,High,Average,2,Yes,87,High School,Married,2,Entry,Medium,61,Yes,No,Yes,Good,Medium,Left
49,Male,9,6597,Fair,Very High,Below Average,2,No,41,Master’s Degree,Single,1,Entry,Medium,46,No,No,Yes,Good,High,Left
26,Male,5,11330,Fair,High,Below Average,2,No,19,High School,Married,0,Entry,Medium,49,Yes,No,No,Excellent,Low,Stayed
21,Male,5,8598,Poor,Low,Average,1,Yes,87,Associate Degree,Single,1,Senior,Small,11,No,No,Yes,Poor,Low,Left
42,Female,11,10233,Good,Medium,Average,3,No,69,PhD,Married,2,Senior,Large,15,No,No,No,Excellent,Low,Stayed
47,Male,10,5427,Good,High,Below Average,2,Yes,1,Bachelor’s Degree,Single,1,Entry,Large,66,Yes,No,No,Good,Very High,Left
29,Male,12,12792,Excellent,Medium,Average,2,No,93,Bachelor’s Degree,Married,1,Mid,Medium,61,No,No,No,Good,Low,Stayed
42,Male,34,5428,Fair,High,High,0,No,46,Bachelor’s Degree,Divorced,0,Entry,Large,80,No,No,No,Good,High,Stayed
19,Male,1,5942,Fair,Very High,Average,1,No,37,High School,Married,4,Mid,Large,62,Yes,No,Yes,Fair,Low,Stayed
58,Male,35,6546,Poor,High,Average,2,No,33,Associate Degree,Married,1,Mid,Medium,58,No,No,Yes,Poor,Medium,Left
56,Female,34,7827,Good,Very High,High,4,No,68,Master’s Degree,Married,0,Mid,Small,72,Yes,Yes,No,Good,Medium,Stayed
38,Female,11,6643,Excellent,Low,Average,0,No,94,Associate Degree,Married,0,Entry,Small,79,No,No,No,Good,High,Left
48,Female,4,7488,Fair,Medium,Below Average,2,No,87,High School,Divorced,0,Entry,Small,6,Yes,No,No,Excellent,Medium,Stayed
29,Male,5,7255,Excellent,Medium,Average,0,Yes,49,PhD,Married,1,Mid,Large,43,No,No,No,Fair,Medium,Stayed
26,Male,7,4731,Good,High,Average,0,Yes,72,High School,Married,5,Senior,Small,31,No,No,No,Fair,Medium,Stayed
53,Male,17,4735,Fair,High,Low,0,No,69,Associate Degree,Married,1,Senior,Medium,95,No,No,No,Good,Medium,Stayed
55,Female,47,7402,Good,High,Average,2,Yes,92,Bachelor’s Degree,Married,1,Entry,Medium,67,No,No,No,Poor,Low,Left
19,Male,7,5306,Poor,Very High,High,0,No,54,PhD,Single,1,Mid,Medium,61,No,No,No,Fair,Low,Left
45,Female,27,7824,Good,High,Average,1,No,51,Bachelor’s Degree,Single,3,Entry,Large,77,No,No,No,Good,Low,Left
59,Male,20,7944,Good,High,Below Average,2,Yes,84,Associate Degree,Single,0,Entry,Medium,87,No,No,Yes,Good,High,Left
39,Female,4,4328,Good,Low,Average,0,No,81,Master’s Degree,Divorced,1,Mid,Large,54,No,No,No,Good,Low,Stayed
26,Male,6,8022,Poor,Very High,Low,4,No,79,High School,Married,4,Senior,Small,83,No,Yes,No,Good,Low,Stayed
52,Male,7,8179,Good,Very High,High,0,Yes,89,Associate Degree,Married,3,Mid,Medium,16,Yes,No,No,Good,Very High,Stayed
54,Male,35,9053,Good,High,Average,1,No,64,Bachelor’s Degree,Married,3,Entry,Medium,54,No,No,No,Poor,Low,Left
48,Male,6,5782,Excellent,High,Average,1,Yes,37,High School,Single,1,Mid,Medium,77,No,No,No,Fair,High,Left
28,Female,19,9222,Fair,Very High,High,0,Yes,4,Associate Degree,Single,1,Entry,Medium,56,No,No,No,Poor,High,Left
52,Male,27,7839,Good,High,Average,0,Yes,37,High School,Single,2,Mid,Medium,80,Yes,No,No,Excellent,Medium,Stayed
18,Female,7,8902,Good,High,Average,1,No,94,Associate Degree,Divorced,4,Senior,Medium,64,No,No,No,Good,Low,Stayed
23,Female,1,5472,Good,High,Average,2,No,51,PhD,Single,1,Entry,Large,17,No,No,No,Excellent,Medium,Left
42,Female,11,5800,Poor,Very High,High,0,No,91,Associate Degree,Single,1,Entry,Medium,47,No,No,Yes,Good,Medium,Left
24,Female,7,10409,Good,Very High,Below Average,0,No,98,Associate Degree,Divorced,0,Mid,Medium,44,No,No,No,Good,Low,Left
51,Male,20,7265,Good,High,Average,0,No,88,Associate Degree,Married,0,Mid,Medium,35,No,No,No,Good,Low,Stayed
39,Female,8,4119,Poor,Medium,Average,0,Yes,2,High School,Single,2,Entry,Medium,13,No,No,No,Good,Low,Left
31,Female,7,4880,Poor,High,Average,2,No,4,High School,Divorced,0,Mid,Medium,27,Yes,No,No,Fair,High,Left
57,Male,5,6434,Fair,Medium,Average,0,No,59,PhD,Married,1,Entry,Medium,51,Yes,No,Yes,Good,Medium,Stayed
50,Male,29,4707,Good,High,Average,0,No,84,High School,Married,4,Entry,Small,32,No,No,No,Good,Low,Stayed
20,Male,10,5691,Good,High,Average,2,No,25,Bachelor’s Degree,Married,0,Entry,Medium,66,No,No,No,Poor,High,Left
21,Female,10,4473,Good,Very High,Average,0,No,78,Bachelor’s Degree,Single,3,Senior,Medium,16,No,Yes,No,Fair,Low,Stayed
39,Female,10,5620,Poor,Medium,Below Average,0,Yes,4,Associate Degree,Married,0,Entry,Small,75,No,No,No,Good,High,Left
48,Male,25,9659,Poor,High,Average,2,No,35,High School,Married,2,Mid,Medium,58,No,No,No,Fair,Low,Stayed
24,Female,2,4369,Fair,High,High,1,Yes,42,Associate Degree,Single,1,Senior,Small,72,No,No,No,Good,Medium,Left
29,Male,16,6028,Fair,High,Below Average,0,No,54,Associate Degree,Divorced,4,Mid,Medium,56,No,No,No,Excellent,High,Stayed
35,Female,20,5413,Excellent,High,Average,0,No,67,Bachelor’s Degree,Single,0,Entry,Medium,31,No,No,No,Good,Low,Stayed
49,Female,10,8597,Fair,Low,Average,0,No,58,Bachelor’s Degree,Divorced,2,Entry,Medium,13,No,No,No,Poor,Low,Left
21,Male,8,4152,Fair,Medium,Average,1,Yes,20,High School,Divorced,0,Mid,Small,67,No,No,No,Poor,Low,Left
39,Female,11,8982,Good,High,Average,0,No,78,Master’s Degree,Single,2,Entry,Medium,29,No,No,No,Fair,Medium,Left
32,Male,18,6757,Excellent,Low,Average,2,Yes,8,Bachelor’s Degree,Married,0,Entry,Small,41,No,No,No,Fair,High,Stayed
45,Female,25,3260,Good,Medium,Average,0,No,98,Associate Degree,Married,0,Mid,Small,43,Yes,No,No,Fair,Low,Stayed
50,Female,5,5593,Fair,High,Average,0,Yes,84,Associate Degree,Single,3,Mid,Small,19,No,No,No,Fair,High,Left
56,Female,7,9124,Poor,Medium,Below Average,2,No,5,Master’s Degree,Single,0,Senior,Large,16,No,No,Yes,Good,Low,Stayed
57,Female,11,3722,Poor,High,Average,2,No,41,Associate Degree,Married,1,Entry,Medium,21,No,No,No,Excellent,Very High,Left
50,Female,34,8582,Good,Very High,Below Average,1,No,24,Associate Degree,Married,1,Mid,Small,71,No,No,No,Fair,Very High,Stayed
50,Female,16,5783,Fair,High,Below Average,2,Yes,17,Associate Degree,Divorced,5,Entry,Large,19,No,No,No,Fair,Low,Left
55,Male,27,6872,Poor,Medium,High,0,No,67,Associate Degree,Married,2,Entry,Medium,64,No,No,No,Good,Medium,Left
40,Female,28,6428,Excellent,High,Average,1,No,49,Master’s Degree,Single,4,Senior,Small,105,Yes,No,No,Excellent,Medium,Stayed
19,Female,2,4082,Fair,Medium,Average,2,No,81,High School,Married,1,Entry,Large,69,No,No,Yes,Good,High,Left
